date,total_sale
1/1/2015,122497
2/1/2015,66030
3/1/2015,247156
4/1/2015,203258
5/1/2015,164263
6/1/2015,206064
7/1/2015,220986
8/1/2015,230161
9/1/2015,382200
10/1/2015,241726
11/1/2015,480979
12/1/2015,410279
1/1/2016,89009
2/1/2016,90823
3/1/2016,212164
4/1/2016,237272
5/1/2016,222722
6/1/2016,205388
7/1/2016,215776
8/1/2016,229543
9/1/2016,429658
10/1/2016,249639
11/1/2016,477720
12/1/2016,472245
1/1/2017,131727
2/1/2017,132982
3/1/2017,238956
4/1/2017,247773
5/1/2017,332524
6/1/2017,291454
7/1/2017,315531
8/1/2017,256089
9/1/2017,546728
10/1/2017,308026
11/1/2017,551815
12/1/2017,518307
1/1/2018,234739
2/1/2018,166267
3/1/2018,355704
4/1/2018,310150
5/1/2018,367411
6/1/2018,354902
7/1/2018,337092
8/1/2018,331014
9/1/2018,705680
10/1/2018,443898
11/1/2018,683410
12/1/2018,687245
